wheelchair,longitude,latitude,accomm_type,name,city,State
yes,-122.1861757,47.767743,hotel,Country Inn & Suites,Bothell,Washington
yes,-119.0460879,35.3800003,hotel,"The Hourglass Hotel, Ascend Hotel Collection",Bakersfield,California
yes,-119.0421414,35.3846792,hotel,Red Lion Hotel Bakersfield,,California
yes,-84.3701971,39.2834795,hotel,DoubleTree Suites Hotel Cincinnati - Blue Ash,Sharonville,Ohio
yes,-117.4139969,47.6610843,hotel,DoubleTree by Hilton Hotel Spokane City Center,Spokane,Washington
yes,-83.3776846,33.9445738,hotel,University of Georgia Center for Continuing Education & Hotel,Athens,Georgia
yes,-77.0174095,38.7809265,hotel,Gaylord National Resort and Convention Center,National Harbor,Maryland
yes,-82.6823324,27.8929468,hotel,Red Roof,Clearwater,Florida
yes,-95.8666369,36.1671387,caravan_site,Mingo RV Park,,Oklahoma
yes,-94.9226438,39.3424339,hotel,Holiday Inn Express at Hoge Hall,Fort Leavenworth,Kansas
yes,-96.8401283,32.9451075,hotel,Crowne Plaza Dallas Near Galleria-Addison,Addison,Texas
yes,-71.2372003,42.0397787,hotel,Sonesta Select,Foxborough,Massachusetts
yes,-120.6523027,35.2869413,hotel,Quality Inn & Suites,San Luis Obispo,California
yes,-81.4296198,28.4051856,hotel,"The Ritz-Carlton Orlando, Grande Lakes",Orlando,Florida
yes,-71.0851509,42.3463574,hotel,Hilton Boston Back Bay,Boston,Massachusetts
yes,-82.1068901,39.3169805,hotel,Ohio University Inn & Conference Center,Athens,Ohio
yes,-88.8873452,30.3919841,hotel,Hard Rock Casino and Hotel,Biloxi,Mississippi
yes,-111.7897551,33.5835307,hotel,Sonesta Select Scottsdale at Mayo Clinic Campus,Scottsdale,Arizona
yes,-157.8307938,21.2781645,hotel,Halepuna Waikiki by Halekulani,,Hawaii
yes,-157.8253358,21.279956,hotel,White Sands Hotel,Honolulu,Hawaii
yes,-90.0634467,29.9473563,hotel,Hilton New Orleans Riverside,New Orleans,Louisiana
yes,-116.5441061,33.8460976,hotel,Margaritaville Resort Palm Springs,Palm Springs,California
yes,-76.6139466,39.2827216,hotel,The Royal Sonesta Harbor Court Baltimore,Baltimore,Maryland
yes,-123.8551255,47.9650399,camp_site,Sol Duc Campground,,Washington
yes,-83.2415943,42.658527,hotel,Sonesta Select,Auburn Hills,Michigan
yes,-97.6922084,30.5296015,hotel,La Quinta Inn & Suites by Wyndham Round Rock,Round Rock,Texas
yes,-122.4557408,38.2952369,hotel,The Cottage Inn & Spa,Sonoma,California
yes,-81.6948194,35.7203385,hotel,SureStay Hotel by Best Western,Morganton,North Carolina
yes,-121.8999223,36.6124346,hotel,Victorian Inn,Monterey,California
yes,-87.9883725,41.9858993,hotel,DoubleTree by Hilton Hotel Chicago Wood Dale - Elk Grove,Wood Dale,Illinois
limited,-86.1083213,39.9102338,hotel,TownePlace Suites,Indianapolis,Indiana
yes,-114.5733989,35.1537813,hotel,Golden Nugget Laughlin,,Nevada
yes,-120.6781711,35.2634743,hotel,BEST WESTERN PLUS Royal Oak Hotel,,California
yes,-120.6748201,35.2591604,hotel,Embassy Suites by Hilton San Luis Obispo,,California
yes,-120.6854342,35.2438938,hotel,Courtyard San Luis Obispo,San Luis Obispo,California
