Park Code,Annual Entrance Pass,Commercial Entrance - Mini-bus,Commercial Entrance - Motor Coach,Commercial Entrance - Per Person,Commercial Entrance - Sedan,Commercial Entrance - Van,Entrance - Education/Academic Groups,Entrance - Motorcycle,Entrance - Non-commercial Groups,Entrance - Per Person,Entrance - Private Vehicle,Entrance - Snowmobile,Timed Entry Reservation
acad,70.0,,,0.0,,,0.0,30.0,0.0,20.0,35.0,,6.0
adam,45.0,,,,,,,,,15.0,,,1.0
anti,35.0,40.0,100.0,,25.0,,0.0,15.0,,10.0,20.0,,
arch,55.0,,,,,,,25.0,,15.0,30.0,,2.0
asis,45.0,,,,,,,20.0,,0.0,25.0,,
badl,55.0,60.0,150.0,,25.0,50.0,,25.0,,15.0,30.0,,
band,45.0,,,,,,,20.0,,15.0,25.0,,
beol,35.0,,,,,,0.0,,,10.0,,,
bibe,55.0,100.0,200.0,,25.0,,,25.0,30.0,15.0,30.0,,
blca,55.0,40.0,100.0,,25.0,40.0,,25.0,22.5,15.0,30.0,,
brca,70.0,60.0,150.0,,50.0,50.0,,30.0,,20.0,35.0,,
cabr,,45.0,100.0,,30.0,45.0,,15.0,20.0,10.0,20.0,,
caco,60.0,,,,,,,20.0,,15.0,25.0,,
cana,45.0,,,,,,,,,,25.0,,
cany,55.0,,,,,,,25.0,,15.0,30.0,,
care,35.0,40.0,100.0,,30.0,40.0,,15.0,,10.0,20.0,,
casa,45.0,,,,,,,,,15.0,,,
cave,,,,,,,,,,15.0,,,1.0
cavo,35.0,40.0,100.0,,25.0,40.0,0.0,15.0,10.0,10.0,20.0,,
cebr,45.0,,,10.0,,,,20.0,,15.0,25.0,,
chat,40.0,,,,,,,5.0,,5.0,5.0,,
chch,,,,,,,,,,10.0,,,
chcu,,40.0,100.0,,40.0,40.0,0.0,20.0,25.0,15.0,25.0,,
choh,35.0,40.0,100.0,,25.0,40.0,0.0,15.0,20.0,10.0,20.0,,
chri,,,,,,,,,,10.0,,,
colm,45.0,40.0,100.0,,25.0,40.0,0.0,20.0,15.0,15.0,25.0,,
colo,45.0,,,,,,,,,15.0,,,
crla,55.0,100.0,200.0,,25.0,75.0,,20.0,,15.0,25.0,15.0,
crmo,35.0,,100.0,,25.0,40.0,0.0,15.0,,10.0,20.0,,
cuis,,,,,,,,,,15.0,,,
dena,45.0,,,,,,,,,15.0,,,
deto,45.0,40.0,100.0,,25.0,40.0,,20.0,,15.0,25.0,,
deva,55.0,100.0,200.0,10.0,25.0,75.0,0.0,25.0,15.0,15.0,30.0,,
dewa,45.0,,,,,,,,,,10.0,,
dino,45.0,60.0,150.0,15.0,25.0,50.0,0.0,20.0,25.0,15.0,25.0,,
drto,,,,,,,,,,15.0,,,
edis,45.0,,,,,,10.0,,,15.0,,,1.0
elis,,,,,,,,,,,,,0.0
ever,70.0,200.0,300.0,,,125.0,0.0,30.0,,20.0,35.0,,
flfo,35.0,,,,,,,,,10.0,,,
foda,35.0,40.0,100.0,,20.0,40.0,,15.0,,10.0,20.0,,
foma,,,,,,,,,,,,,0.0
fomc,45.0,,,15.0,,,,,15.0,15.0,,,
fopu,35.0,,,10.0,,,,,,10.0,,,
fosu,35.0,,,,,,,,,10.0,,,
foth,,,,,,,,,,,,,3.5
fova,35.0,,,,,,,,,10.0,,,
frdo,,,,,,,,,,,,,1.0
glac,70.0,100.0,200.0,,25.0,75.0,,30.0,,20.0,35.0,,
glca,55.0,40.0,100.0,,,40.0,0.0,25.0,,15.0,30.0,,
gosp,35.0,,,,,,,15.0,,10.0,20.0,,
grca,70.0,,,,,,,30.0,,20.0,35.0,,
grfa,35.0,40.0,100.0,,25.0,40.0,,15.0,100.0,10.0,20.0,,
grsa,45.0,40.0,100.0,,25.0,40.0,,20.0,15.0,15.0,25.0,,
grte,70.0,200.0,300.0,,25.0,125.0,0.0,30.0,,20.0,35.0,,
guis,45.0,,,,,,,20.0,,15.0,25.0,,
gumo,35.0,,,,,,0.0,,,10.0,,,
hafe,35.0,,,,,,,15.0,,10.0,20.0,,
hale,55.0,,,15.0,30.0,45.0,,25.0,,15.0,30.0,,1.0
havo,55.0,100.0,200.0,15.0,25.0,75.0,,25.0,,15.0,30.0,,
hofr,45.0,,,,,,,,,13.333333333333334,,,
hove,55.0,,,,,,,15.0,,10.0,20.0,,
inde,,,,,,,,,,,,,1.0
indu,45.0,40.0,100.0,,25.0,40.0,,20.0,,15.0,25.0,,
isro,60.0,,,,,,,,,7.0,,,
jame,45.0,,,,,,,,,15.0,,,
jeff,,,,,,,,,,,,,19.0
jotr,55.0,,,,,,,25.0,,15.0,30.0,,
kemo,40.0,,,,,,,,,5.0,5.0,,
labe,55.0,,,,,,,20.0,,15.0,25.0,,
lake,45.0,60.0,150.0,,25.0,50.0,0.0,20.0,15.0,15.0,25.0,,
lavo,55.0,60.0,150.0,,25.0,50.0,0.0,17.5,,12.5,20.0,,
lewi,35.0,,,,,,,,,10.0,,,
libi,,40.0,100.0,,25.0,40.0,,20.0,,15.0,25.0,,
loea,,,,,,,,,,30.0,,,
meve,55.0,,,,,,,20.0,,15.0,25.0,,
