wheelchair,latitude,longitude,accomm_type,state,name,street,house_number,city,website,phone
yes,-122.1861757,47.767743,hotel,WA,Country Inn & Suites,North Creek Parkway,19333,Bothell,https://www.radissonhotels.com/en-us/hotels/country-inn-bothell-wa,+1-425-485-5557
yes,-119.0460879,35.3800003,hotel,CA,"The Hourglass Hotel, Ascend Hotel Collection",Camino del Rio Court,2400,Bakersfield,,+1-661-327-0681
yes,-119.0421414,35.3846792,hotel,,Red Lion Hotel Bakersfield,,,,,
yes,-84.3701971,39.2834795,hotel,OH,DoubleTree Suites Hotel Cincinnati - Blue Ash,East Kemper Road,6300,Sharonville,https://www.hilton.com/en/hotels/cvgkrdt-doubletree-suites-cincinnati-blue-ash/,+1 513-489-3636
yes,-117.4139969,47.6610843,hotel,,DoubleTree by Hilton Hotel Spokane City Center,North Spokane Falls Court,322,Spokane,https://doubletree3.hilton.com/en/hotels/washington/doubletree-by-hilton-hotel-spokane-city-center-SPCC-DT/index.html,+1-509-455-9600
yes,-83.3776846,33.9445738,hotel,GA,University of Georgia Center for Continuing Education & Hotel,South Lumpkin Street,1197,Athens,,
yes,-77.0174095,38.7809265,hotel,MD,Gaylord National Resort and Convention Center,Waterfront Street,201,National Harbor,,301-965-2000
yes,-82.6823324,27.8929468,hotel,,Red Roof,Ulmerton Road,3580,Clearwater,,
yes,-95.8666369,36.1671387,caravan_site,,Mingo RV Park,,,,https://www.mingorvpark.com/,+1-918-832-8824
yes,-94.9226438,39.3424339,hotel,KS,Holiday Inn Express at Hoge Hall,Grant Avenue,214,Fort Leavenworth,https://www.ihg.com/armyhotels/hotels/us/en/fort-leavenworth/mfvwa/hoteldetail,
yes,-96.8401283,32.9451075,hotel,TX,Crowne Plaza Dallas Near Galleria-Addison,Midway Road,14315,Addison,https://www.ihg.com/crowneplaza/hotels/us/en/addison/dalad/hoteldetail,+1-972-980-8877
yes,-71.2372003,42.0397787,hotel,MA,Sonesta Select,Foxboro Boulevard,35,Foxborough,https://www.sonesta.com/us/massachusetts/foxborough/sonesta-select-boston-foxborough-mansfield,+1-508-543-5222
yes,-120.6523027,35.2869413,hotel,CA,Quality Inn & Suites,Monterey Street,1631,San Luis Obispo,https://www.choicehotels.com/california/san-luis-obispo/quality-inn-hotels/ca702,+1-805-541-5001
yes,-81.4296198,28.4051856,hotel,FL,"The Ritz-Carlton Orlando, Grande Lakes",Central Florida Parkway,4012,Orlando,https://www.ritzcarlton.com/,+1 407 206 2400
yes,-71.0851509,42.3463574,hotel,MA,Hilton Boston Back Bay,Dalton Street,40,Boston,https://www3.hilton.com/en/hotels/massachusetts/hilton-boston-back-bay-BOSBHHH/index.html,+1-617-236-1100
yes,-82.1068901,39.3169805,hotel,OH,Ohio University Inn & Conference Center,Richland Avenue,331,Athens,https://www.ouinn.com/,+1-866-593-6661
yes,-88.8873452,30.3919841,hotel,MS,Hard Rock Casino and Hotel,Beach Boulevard,777,Biloxi,https://www.hrhcbiloxi.com/,+1-228-374-7625
yes,-111.7897551,33.5835307,hotel,AZ,Sonesta Select Scottsdale at Mayo Clinic Campus,East Shea Boulevard,13444,Scottsdale,https://www.sonesta.com/sonesta-select/az/scottsdale/sonesta-select-scottsdale-mayo-clinic-campus/,+1-480-860-4000
yes,-157.8307938,21.2781645,hotel,,Halepuna Waikiki by Halekulani,,,,,
yes,-157.8253358,21.279956,hotel,HI,White Sands Hotel,Nohonani Street,431,Honolulu,https://www.whitesandshotel.com,+1-808-924-7263
yes,-90.0634467,29.9473563,hotel,LA,Hilton New Orleans Riverside,Poydras Street,Two,New Orleans,https://www.hilton.com/en/hotels/msynhhh-hilton-new-orleans-riverside/,+1-504-561-0500
yes,-116.5441061,33.8460976,hotel,CA,Margaritaville Resort Palm Springs,North Indian Canyon Drive,1600,Palm Springs,https://www.margaritavilleresorts.com/margaritaville-resort-palm-springs,+1-760-327-8311
yes,-76.6139466,39.2827216,hotel,MD,The Royal Sonesta Harbor Court Baltimore,Light Street,550,Baltimore,https://www.sonesta.com/royal-sonesta/md/baltimore/royal-sonesta-harbor-court-baltimore,+1 410 234 0550
yes,-123.8551255,47.9650399,camp_site,,Sol Duc Campground,,,,https://www.recreation.gov/camping/campgrounds/251906,
yes,-83.2415943,42.658527,hotel,MI,Sonesta Select,Aimee Lane,2550,Auburn Hills,https://www.sonesta.com/us/michigan/auburn-hills/sonesta-select-detroit-auburn-hills,+1-248-373-4100
yes,-97.6922084,30.5296015,hotel,TX,La Quinta Inn & Suites by Wyndham Round Rock,North Interstate 35,2004,Round Rock,https://www.wyndhamhotels.com,+1-512-255-6666
yes,-122.4557408,38.2952369,hotel,,The Cottage Inn & Spa,1st Street East,310,Sonoma,https://cottageinnandspa.com/,+1 (707) 996-0719
yes,-81.6948194,35.7203385,hotel,NC,SureStay Hotel by Best Western,Ross Street,1100,Morganton,https://www.bestwestern.com/en_US/book/hotels-in-morganton/surestay-by-best-western-morganton/propertyCode.55220.html,+1 828-430-8778
yes,-121.8999223,36.6124346,hotel,CA,Victorian Inn,Foam Street,487,Monterey,https://www.victorianinn.com/,+1-831-373-8000
yes,-87.9883725,41.9858993,hotel,IL,DoubleTree by Hilton Hotel Chicago Wood Dale - Elk Grove,North Mittel Boulevard,1200,Wood Dale,https://www.hilton.com/en/hotels/chiwddt-doubletree-chicago-wood-dale-elk-grove,+1 630-860-2900
limited,-86.1083213,39.9102338,hotel,IN,TownePlace Suites,Union Chapel Road,8468,Indianapolis,,
yes,-114.5733989,35.1537813,hotel,,Golden Nugget Laughlin,,,,,
yes,-120.6781711,35.2634743,hotel,,BEST WESTERN PLUS Royal Oak Hotel,,,,,
yes,-120.6748201,35.2591604,hotel,,Embassy Suites by Hilton San Luis Obispo,Madonna Road,333;321,,,
yes,-120.6854342,35.2438938,hotel,CA,Courtyard San Luis Obispo,Calle Joaquin,1605,San Luis Obispo,,+1-805-786-4200
