park_code,fullName,latitude,longitude,states,id
abli,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,77E0D7F0-1942-494A-ACE2-9004D2BDC59E
acad,Acadia National Park,44.409286,-68.247501,ME,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
adam,Adams National Historical Park,42.2553961,-71.01160356,MA,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
afam,African American Civil War Memorial,38.9166,-77.026,DC,1A47416F-DAA3-4137-9F30-14AF86B4E547
afbg,African Burial Ground National Monument,40.71452681,-74.00447358,NY,E6E1D22A-7A89-47F8-813C-B611059A8CF9
agfo,Agate Fossil Beds National Monument,42.42170419,-103.753886,NE,64B9F127-31ED-43C9-882D-D7CD471AF314
alka,Ala Kahakai National Historic Trail,19.144668109,-155.890734294,HI,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1
alag,Alagnak Wild River,59.05180188,-156.112002,AK,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
anch,Alaska Public Lands,61.2188,-149.894536,AK,7D6098F9-3F75-4775-A56D-CD9C7F9A9488
alca,Alcatraz Island,37.82676234,-122.4230206,CA,C08AD828-98FF-478E-A63C-614E7534274B
aleu,Aleutian Islands World War II National Historic Area,53.9143,-166.5197,AK,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
alfl,Alibates Flint Quarries National Monument,35.5819662,-101.6717008,TX,6D82D070-995A-4524-A56E-C1CE182E7D9B
alpo,Allegheny Portage Railroad National Historic Site,40.42977467,-78.57431622,PA,3350C18C-8E07-487B-930E-37AD873D31AD
amch,Amache National Historic Site,38.04962,-102.32903,CO,D35004EF-5F5A-4DA4-8716-5141BE5C933C
amme,American Memorial Park,15.21680033,145.7231096,MP,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243
amis,Amistad National Recreation Area,29.53539777,-101.075821,TX,34CB30BA-8A5F-4563-AA34-6633708DD9DC
anac,Anacostia Park,38.8782,-76.9703,DC,9463E25C-7342-4A34-9537-4A6DA74B2B06
ande,Andersonville National Historic Site,32.19831758,-84.12988898,GA,00E65872-53F7-4C9B-BD29-B9BC99930D0D
anjo,Andrew Johnson National Historic Site,36.15624509,-82.83709021,TN,2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8
ania,Aniakchak National Monument & Preserve,56.85317675,-157.5544362,AK,7FF37F14-88C8-469E-A447-ACE6D9AF44D2
anti,Antietam National Battlefield,39.46763452,-77.73828017,MD,8415526C-C932-4236-A634-2D89DF718936
apis,Apostle Islands National Lakeshore,46.96240467,-90.66045665,WI,D84122DD-1B0E-4D13-927C-5D6D2A0D200E
appa,Appalachian National Scenic Trail,40.41029575,-76.4337548,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",FAEF5684-83A4-4CF2-A701-60CF8D4014BD
apco,Appomattox Court House National Historical Park,37.38022164,-78.79856982,VA,16CCCC56-1DC1-47D6-AE91-E939955BFC53
arch,Arches National Park,38.72261844,-109.5863666,UT,36240051-018E-4915-B6EA-3F1A7F24FBE4
arpo,Arkansas Post National Memorial,34.00389998,-91.30837178,AR,6876F4F4-9B8F-4648-89EA-C1BBF770C494
arho,"Arlington House, The Robert E. Lee Memorial",38.8822021484,-77.0734786987,VA,E84B1E08-CCE8-4FFF-8DB6-B92F40953225
asis,Assateague Island National Seashore,38.05593172,-75.24524611,"MD,VA",307BE169-345D-472C-8128-20F1D59864A7
azru,Aztec Ruins National Monument,36.83682216,-107.9999245,NM,CD54150B-24F6-4B96-8D6F-B23AF92A70F2
badl,Badlands National Park,43.68584846,-102.482942,SD,B170CCF7-7AB9-48FF-950E-31815FD4DBB2
bawa,Baltimore-Washington Parkway,39.02604289,-76.85410921,MD,A21F01BC-9E47-4DBE-8655-A1651FC2C1B1
band,Bandelier National Monument,35.77898596,-106.3317124,NM,E28CA30C-2D81-4394-81E9-67677C412115
bepa,Belmont-Paul Women's Equality National Monument,38.89231541,-77.00381882,DC,E7E4E103-5FA9-45AC-8843-05DE554CDBB7
beol,Bent's Old Fort National Historic Site,38.03977546,-103.4266499,CO,87F9EFC7-1951-4250-A367-644EC5C4E6A2
bela,Bering Land Bridge National Preserve,65.96087902,-164.4086432,AK,EE1F4878-00FB-4760-A77F-EA76DB8DEFD9
bibe,Big Bend National Park,29.29817767,-103.2297897,TX,C9056F71-7162-4208-8AE9-2D0AEFA594FD
bicy,Big Cypress National Preserve,25.97079602,-81.08120629,FL,E0F4D5E3-3E4A-4345-B86A-1B0CAD7461F1
biho,Big Hole National Battlefield,45.64647324,-113.6458443,MT,3262234F-A56A-447D-AE6C-F5C734ABD3A4
biso,Big South Fork National River & Recreation Area,36.5348388,-84.66506688,"KY,TN",61EC5C9A-1A38-4040-AE38-E62FD2A9A836
bith,Big Thicket National Preserve,30.457983431,-94.386742115,TX,3AA12AD8-4FEB-491D-AEB2-CC0F74CD00E0
bica,Bighorn Canyon National Recreation Area,45.13154227,-108.1443943,"MT,WY",7568A0D8-73B1-44E6-82C7-E10BA1872209
bicr,Birmingham Civil Rights National Monument,33.5154266357,-86.814666748,AL,99907F85-7E09-40FE-BF5E-A9AB7F09A7E2
bisc,Biscayne National Park,25.490587,-80.21023851,FL,FBF9F793-5114-4B61-A5BA-6F9ADDFDF459
blca,Black Canyon Of The Gunnison National Park,38.57779869,-107.7242756,CO,BDBD573F-97EF-44E7-A579-471679F2C42A
blrv,Blackstone River Valley National Historical Park,41.8775792792,-71.382433945,"RI,MA",A36366E7-5663-4531-B0CE-D58928C6D01B
blsc,Blackwell School National Historic Site,,,TX,4A71FEB9-5968-4A27-9794-F202C96FFA55
blri,Blue Ridge Parkway,35.5657195274,-82.486484587,"NC,VA",712044CE-4C85-48C2-813E-310A9C6C74E1
blue,Bluestone National Scenic River,37.56577087,-80.98366657,WV,14025CA9-91DE-4D36-B4CA-9880463C3BC2
bowa,Booker T Washington National Monument,37.11520539,-79.73185833,VA,6278FE68-139E-4758-A6DE-9A0437F777B5
boaf,Boston African American National Historic Site,42.35908295,-71.06764181,MA,87F00684-8E1F-4E12-B463-2B5B929A0C74
boha,Boston Harbor Islands National Recreation Area,42.30905526,-70.93941138,MA,65E0DF4A-4082-4B48-93BD-5021987CDD7A
bost,Boston National Historical Park,42.36957407,-71.05536763,MA,81F81EBD-0FE7-4811-88EF-AB071E737D97
brcr,Brices Cross Roads National Battlefield Site,34.50611958,-88.72889343,MS,F6555AB7-654F-4418-8827-F91F54536C04
brvb,Brown v. Board of Education National Historical Park,39.03787665,-95.67614437,KS,E2F59F29-1F3A-43B9-A361-7E74E5FDDEB1
brca,Bryce Canyon National Park,37.58399144,-112.1826689,UT,6B1D053D-714F-46D1-B410-04BE868F14C1
buis,Buck Island Reef National Monument,17.81026717,-64.6222179,VI,1172F473-8129-42CA-9A47-C9D0AC5CAF66
buff,Buffalo National River,36.04116481,-92.90761584,AR,DBD2FCBF-D0DD-4262-A04E-93090888F0F5
buov,Butterfield Overland National Historic Trail,32.2768237589,-106.796583304,"MO,AR,OK,TX,NM,AZ,CA",F2A0D649-ED66-4BB7-A3EC-001CC42921CF
cabr,Cabrillo National Monument,32.6722503,-117.2415985,CA,2DB09FB7-0408-44C9-8083-8F50039BD6DA
cali,California National Historic Trail,42.3999643979,-108.702415369,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",B39C368F-CB27-49EC-B2A9-E6C1552430FB
cane,Camp Nelson National Monument,37.7970179913,-84.598168306,KY,2FB7A664-0F66-49A3-9460-194F4073BA3F
cana,Canaveral National Seashore,28.78637529,-80.75419576,FL,FFD294C0-8027-42EC-B395-9C3BF2B80F49
cari,Cane River Creole National Historical Park,31.65408447,-93.00131977,LA,55ABA58B-B19E-4851-BDE1-1C0712B2BE2C
cach,Canyon de Chelly National Monument,36.14319567,-109.3388303,AZ,869BAD2B-C46F-4FEB-891B-EBA119B64B48
cany,Canyonlands National Park,38.24555783,-109.8801624,UT,319E07D8-E176-41F8-98A9-1E3F8099D0AB
caco,Cape Cod National Seashore,41.92381465,-70.04319832,MA,DE0A8012-5324-4F5C-98DA-0EE6589FDFB3
caha,Cape Hatteras National Seashore,35.41370839,-75.65061112,NC,7B9F59AE-D223-4A99-B6DF-A418D876DD82
came,Cape Henry Memorial Part of Colonial National Historical Park,36.9278094,-76.0088219,VA,3A2AEA7C-8896-4445-9763-932B4A74CF34
cakr,Cape Krusenstern National Monument,67.41499986,-163.5037786,AK,77566B98-D9CC-40FB-AA6E-FAA0F56E2059
calo,Cape Lookout National Seashore,34.8267961,-76.34319082,NC,3BA4ACE6-0FFE-4B56-8C07-B3F05DC304DB
cahi,Capitol Hill Parks,38.889993,-76.990332,DC,96DC2172-0201-4ABB-BD77-2687F4726C9B
care,Capitol Reef National Park,38.2821653131,-111.247048378,UT,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B
cajo,Captain John Smith Chesapeake National Historic Trail,38.971601,-76.483355,"VA,MD,DE,DC,PA,NY",481CEBB8-1942-4FAE-8D89-9902E7B9EECA
cavo,Capulin Volcano National Monument,36.78171096,-103.9710427,NM,93BB79F9-D700-4202-B21C-B2354617A729
carl,Carl Sandburg Home National Historic Site,35.26815509,-82.45106258,NC,6E9B2F16-4CFE-49B2-A95E-87E4F02E79FF
cave,Carlsbad Caverns National Park,32.14089463,-104.5529688,NM,6FDE39B1-AB4A-4C9A-A5CD-4AF67601CD78
