park_code,price_type,cost,fee_type,pass_category,description,id
acad,fee,6.00,Timed Entry Reservation - Location,,"Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 9 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system.",B0ACE361-8899-4098-A238-18BA39FD67C2
acad,fee,35.00,Entrance - Private Vehicle,,"Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle pass is purchased, no other pass is necessary.",94E30640-D3B6-40D4-9949-07C63CFE636C
acad,fee,30.00,Entrance - Motorcycle,,"Valid for seven days. Admits one or two passengers on a private, non-commercial motorcycle.",A6D7D0BD-5064-4018-ACA6-471AAC4B8301
acad,fee,20.00,Entrance - Per Person,,"Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge.",CE8B4FBB-3410-49D1-97DF-B4F019CDD058
acad,fee,0.00,Entrance - Education/Academic Groups,,"School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups.",BBA5FD20-F7E2-4185-84E9-CECEAB42C43B
acad,fee,0.00,Entrance - Non-commercial Groups,,"Groups entering Acadia by bus, van, or other high-capacity vehicles (16 people or more) must pay an organized group entrance fee.

Adults (16 years old and over): $20/per person
Youth (15 years old and under): Free",8B5FB8A4-46C0-43A1-BCEF-3D8D35E1A89F
acad,fee,0.00,Commercial Entrance - Per Person,,"Are you operating a business that provides leisure or recreational services while in the park? If so, it is considered a commercial group and you are required to have a Commercial Use Authorization.

A commercial group is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provisions of the service. Learn more on our ""Do Business With Us"" page.",46D75731-D4BF-45DE-88FC-54C93ADBB9AB
acad,pass,70.00,,Annual Entrance - Park,"The Acadia Annual Pass is valid only at Acadia and may be purchased online or in person. You do not need an additional entrance pass if you already have a federal lands pass. It is valid for 12 months from purchase month. This pass admits the pass holder and passengers in a non-commercial vehicle.

In addition to park visitor centers and campgrounds, the Acadia Annual Pass is available at the Acadia Regional Chamber at Thompson Island, and at Bar Harbor, Ellsworth and Southwest Harbor chambers of commerce.",F647C604-6000-4454-A9FB-6147436E8A7C
adam,fee,1.00,Timed Entry Reservation - Location,,"The park offers tours of the historic homes. A reservation is required to attend a guided tour. It is strongly recommended to make reservations in advance on Adams National Historical Park's Recreation.gov page. A limited number of reservations will be available day-of for free on a first-come, first-served basis at the Visitor Center.",3731EBA3-EF53-403B-8C27-F02EBA8D5CEB
adam,fee,15.00,Entrance - Per Person,,"Entrance into the historic homes at Adams National Historical Park requires an entrance pass. Entrance passes cost $15 per person. Children under the age of 16 are free. If you have an America the Beautiful Interagency Pass, you do not need to pay the entrance fee. Tours can be reserved online in advance at recreation.gov or in-person on the day of your visit at the park’s visitor center. Tour reservations are required in addition to entrance passes.",E08949D2-8971-43EF-B9F1-27CB13016466
adam,pass,45.00,,Annual Entrance - Park,"Adams National Historical Park has a digital annual pass available for purchase on Recreation.gov.  This pass is good for 12 months following the purchase of the pass.  Tickets are still required to enter the park, but the digital annual pass will ensure the passholder free entry into the park.  The pass costs $45.",DF9A61D1-3D4D-4C16-BDA4-6CEEBCDCD50C
anti,fee,20.00,Entrance - Private Vehicle,,Personal Vehicle/Family: $20.00 for three days,BE767ADF-66E3-4A4C-9C65-A53E6A349B8B
anti,fee,10.00,Entrance - Per Person,,"Individual: $10.00 for three days. This fee admits one individual in a vehicle and also includes hikers, bicyclists or pedestrians. Youth 15 and under are admitted free of charge.",A5E572F3-10A9-49DB-8F39-7B6CBCD7CE8D
anti,fee,15.00,Entrance - Motorcycle,,"Motorcycle: $15.00 This fee admits one individual on a private, non-commercial motorcycle for three days.",96BE546E-E875-4FE3-A23D-9747D88EE0D4
anti,fee,100.00,Commercial Entrance - Motor Coach,,$100 Motor Coach/Commercial Tour Groups with 26 or more people,18567A2E-FB7B-4533-A42C-50867ED1AE13
anti,fee,40.00,Commercial Entrance - Mini-bus,,$40 per passenger bus with 16-25 people,6AEED6F7-4FBA-4F3D-B361-2055E5AE8BB3
anti,fee,25.00,Commercial Entrance - Sedan,,$25 per passenger bus/sedan with 1-6 people,F79BDB14-0409-4241-8D6E-4106DD6CC55B
anti,fee,0.00,Entrance - Education/Academic Groups,,"To request an Academic Fee Waiver for your group, click on the link for further details.",8C02F7AE-0D9E-457D-9F57-C38155EE8A93
anti,pass,35.00,,Annual Entrance - Park,"If you or your family visit the battlefield more than once a year, this pass is for you. Valid for one year from month of purchase for Antietam National Battlefield only. Admits pass holder and passengers in a single private vehicle.",A7084A83-C471-4077-95ED-12A7A2B2829E
arch,fee,2.00,Timed Entry Reservation - Park,,"From April 1 through October 31, 2023, visitors entering the park in a vehicle between 7 am and 4 pm will need to have already purchased a Timed Entry Ticket from Recreation.gov before arriving. One ticket is needed per vehicle. This fee is a Recreation.gov service charge, so it is not waived by any of the interagency passes.",1533D69E-9292-4F61-BABF-6A412ED3DA2C
arch,fee,30.00,Entrance - Private Vehicle,,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants.",2FF411BD-89C9-45D8-8D22-742296A725F4
arch,fee,25.00,Entrance - Motorcycle,,"Admits one private, non-commercial motorcycle and its riders",A497A680-D336-429B-B722-543E78A74CDF
arch,fee,15.00,Entrance - Per Person,,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free.",C2E9F733-7E7A-4C39-959C-A168FF921E7D
arch,pass,55.00,,Annual Entrance - Park,"Valid for one year through the month of purchase. Admits one (1) private, non-commercial vehicle or its pass holder to Arches and Canyonlands national parks, and Natural Bridges and Hovenweep national monuments.",B94F7638-0C3A-4CD8-90AD-BFA1C0F814B1
asis,fee,25.00,Entrance - Private Vehicle,,Assateague 7 day vehicle pass.,93A7BBB3-5B57-4D9D-B616-AFE72F04801C
asis,fee,20.00,Entrance - Motorcycle,,Assateague 7 day motorcycle pass.,F36CD6D5-D424-49BF-8F7E-52A6D743A5B9
asis,fee,0.00,Entrance - Per Person,,Assateague per person walk-in or bicycle,2B1EBDF3-2136-40BA-8069-6BE02B84299C
asis,pass,45.00,,Annual Entrance - Park,The Assateague Island National Seashore Annual Park Entrance Pass is $45.00. It is valid in both the Maryland District and Virginia District (Chincoteague National Wildlife Refuge).,1DA9CCD2-2D2F-4904-ACD1-2168201A1475
badl,fee,30.00,Entrance - Private Vehicle,,Fee covers the entry of a private vehicle and its occupants for 7 days,CDB86829-AF36-452F-8F1A-DBF8D40A5C29
badl,fee,25.00,Entrance - Motorcycle,,Fee covers the entry of a motorcycle and its occupants for 7 days,D8CB2707-4AA5-4AF9-9EC3-8125A84FB751
badl,fee,15.00,Entrance - Per Person,,"Fee covers the entry of an individual that is hiking, bicycling, etc... for 7 days",E86C8F69-9B04-4E95-A5F6-DD8B7769517B
badl,fee,25.00,Commercial Entrance - Sedan,,"Commercial sedan, 1 to 6 passenger capacity. $25 plus $15 per person - 7 days for Original Manifest",40A007C7-7658-47F9-9605-E847699BEE20
badl,fee,50.00,Commercial Entrance - Van,,"Commercial van, 7 to 15 passenger capacity; $50 - 7 days for Original Manifest",5A334EC2-1500-4699-A9B5-A7C366F6562E
badl,fee,60.00,Commercial Entrance - Mini-bus,,"Minibus, 16 to 25 passenger capacity; $60 - 7 days for Original Manifest",2C4E71A1-CEA6-4FCA-816C-0CE2A934CEAF
badl,fee,150.00,Commercial Entrance - Motor Coach,,"Motorcoach, 26 or more passenger capacity; $150 - 7 days for Original Manifest",488D8FCA-63B6-41DC-98F6-DF51AD46511D
badl,pass,55.00,,Annual Entrance - Park,"This pass admits a single, private, non commercial vehicle and its occupants into the park. This pass does not include camping or give any type of discount at stores inside the park. Valid for one year from month of purchase.",1705348A-4D57-44BB-A2E1-CB7589B57104
band,fee,25.00,Entrance - Private Vehicle,,"Pass covers all persons traveling in a single, private, non-commercial vehicle (car, truck, camper, or van up to 15 passengers). Auto passes are non-transferable and not replaced if lost or stolen.  Entrance passes do not cover camping fees.",1CB96441-FD12-4784-8795-2229567817D7
band,fee,20.00,Entrance - Motorcycle,,Pass covers a single motorcycle and up to two people. Motorcycle passes are non-transferable and not replaced if lost or stolen.,91C2C83D-31CF-4A2A-8220-6A300D5202B7
band,fee,15.00,Entrance - Per Person,,"Pass covers per person entrance fee for those 16 years of age and older traveling on foot or by bicycle, or for individuals traveling together in a 16 passenger or greater vehicle as a non-commercial, organized group. Individual passes are non-transferable and not replaced if lost or stolen.",750B31EE-6C9F-4571-8969-45C5600F969D
band,pass,45.00,,Annual Entrance - Park,"Valid for one year from month of purchase. Admits passholder and passengers in a single, private, non-commercial vehicle, or the pass holder plus up to 3 other people when entry is by other means (foot, bicycle). Non-transferable, non-refundable, not replaceable if lost or stolen.",7B0A5CDF-A56C-407C-BF10-39E2A6FE0A7A
beol,fee,10.00,Entrance - Per Person,,$10.00 per person - Adults (age 16 and older).,CC81482F-65E5-4CD6-9702-09ACCCDDDE32
beol,fee,0.00,Entrance - Education/Academic Groups,,"Applications for fee waivers must be received two weeks prior to your anticipated trip. 
Those organized, educational groups of children who are less than 16 years of age with less than 75 students and no more than 10 adult teachers and chaperones must call to schedule a field trip to the park at least two weeks in advance of their visit in order to enter the park free of charge without a fee waiver.",E9D0C019-490E-4456-9EB4-016521DD8B0E
beol,pass,35.00,,Annual Entrance - Park,"Bent's Old Fort Annual Park Pass - Cost $35.
Covers entrance fees for passholder plus three adults at Bent's Old Fort National Historic Site. This pass can be purchased at the entrance inside the fort and at the Western National Parks Association park store in the back of the fort. Good for one year from purchase. Non-transferable and non-refundable.",F95AB378-3A04-4725-BFE0-31927BA572F3
bibe,fee,30.00,Entrance - Private Vehicle,,"Admits one private, non-commercial vehicle (15 passenger capacity or less); valid for 7 days.",625A43EB-F890-41FB-88BD-2993FFA8B7F1
bibe,fee,25.00,Entrance - Motorcycle,,Admits one non-commercial motorcycle; valid for 7 days.,1BE872AA-2DD0-419C-955E-1C891968DE9B
bibe,fee,15.00,Entrance - Per Person,,Admits one individual. Typically used for bicyclists and pedestrians; valid for 7 days.,26BB94AE-6EDB-445A-A6CC-1AED16152895
bibe,fee,200.00,Commercial Entrance - Motor Coach,,Companies conducting business in the park are required to obtain a commercial use authorization. The only exception is companies travelling in a 26-person capacity or greater vehicle; such vehicles are charged a flat fee of $200 (commercial use authorization not required).,7D9E2631-60FE-4589-A9D9-FBA29284213A
bibe,fee,30.00,Entrance - Non-commercial Groups,,"Organized groups such as Scouts, clubs, etc. that do not qualify for an academic fee waiver are charged as follows:
$30 per non-commercial vehicle with a capacity of 15 or less.
$15 per person traveling in a non-commercial vehicle with a capacity of 16 or more. Fees will not exceed the commercial rate for the same sized vehicle. Youth 15 and younger are free. Individuals or families with a valid annual or lifetime pass may use their pass for themselves and up to 3 others.",03E4A538-993E-49D1-9DF2-4077BB4D2E72
bibe,fee,100.00,Commercial Entrance - Mini-bus,,"This fee is valid for seven consecutive days. A commercial use authorization is required.

https://www.nps.gov/bibe/learn/management/cua.htm",98E7967E-AF63-42CE-89FB-889E25993268
bibe,fee,25.00,Commercial Entrance - Sedan,,"These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. For sedan with 1 to 6 seats, the fee is $30 + $15 per client.
This fee is valid for seven consecutive days. A commercial use authorization is required.",CAE237B6-1A9E-452F-9297-05AF3C31A557
bibe,pass,55.00,,Annual Entrance - Park,"Big Bend National Park Annual Pass
Covers entrance fees to Big Bend National Park. Pass is available at Big Bend National Park entrance stations or any visitor center. Good for one year from purchase date. Pass is non-transferable.",1D57EDC7-BE8C-4F8E-8F0D-5370C0A0DDEE
blca,fee,30.00,Entrance - Private Vehicle,,"7-Day Vehicle Pass.  Entrance fees cover all persons in a single, private, non-commercial vehicle.",35368C79-2CF2-45D9-BAD3-DF53F17FB14A
blca,fee,25.00,Entrance - Motorcycle,,"7-Day Motorcycle Pass.  Entrance fees cover all persons in a single, private, non-commercial vehicle.",3A248B5E-015E-43A7-96F2-A766752E6961
blca,fee,15.00,Entrance - Per Person,,7-Day Individual Pass (pedestrian or bicycle),64018B44-AD0E-4700-878D-C6AD97FDDB95
blca,fee,25.00,Commercial Entrance - Sedan,,Commercial tour fee for vehicle/bus with seating capacity of 1-6 persons.  Fee is $25.00 per vehicle plus $7.00 per passenger.,57153F85-B70F-4555-902C-507122B8B5D0
blca,fee,40.00,Commercial Entrance - Van,,Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle.,575CBC6F-8A92-4E5C-A8DE-2DA7D1E00C96
blca,fee,40.00,Commercial Entrance - Mini-bus,,Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle.,2BDC24E2-FD2F-4B30-AB7E-B816F8F703A7
blca,fee,100.00,Commercial Entrance - Motor Coach,,Commercial tour fee for vehicle/bus with seating capacity of 26 or more.  Fee is $100.00 per vehicle.,F87760B8-D501-4035-832D-5C6D2946D482
blca,fee,30.00,Entrance - Non-commercial Groups,,"Non-commercial vehicles with a vehicle capacity of 15 or fewer: $30.00 per vehicle, regardless of the number of passengers.",2F7C9123-F92E-433C-B253-C3390F8330E8
blca,fee,15.00,Entrance - Non-commercial Groups,,Non-commercial vehicles with a vehicle capacity of 16 or greater: $15.00 per passenger (including driver). Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per-person rate. Pass and photo ID must be presented upon entry.,1BF05EC1-6338-498E-AB65-8C5AC2C1BF4B
blca,pass,55.00,,Annual Entrance - Park,"An annual pass to Black Canyon of the Gunnison National Park is available for $55.00 at the South Rim entrance station from early April to late October, and at Recreation.gov. This pass admits the permit holder and all accompanying passengers in a single, private, noncommercial vehicle to the park. It is valid for 12 months from date of purchase and covers entrance fees only.",BE12F089-EDAF-4E5F-98FF-7F559D8CBA0A
brca,fee,35.00,Entrance - Private Vehicle,,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all occupants.",1F62A57C-1B72-43C5-B344-D302D549BE77
brca,fee,30.00,Entrance - Motorcycle,,Price is per motorcycle.,64F9C0C9-C5B2-47F6-9D7F-80B1CE16DA8E
